ID,NAME,NAME_DE,IMAGE,Description,Descritpion_DE,Skills,Apts
sororitas,Adepta Sororitas,Adepta Sororitas,sororitas.png,"The Adepta Sororitas, also known as the Sisters of Battle, are an all-female militant order dedicated to the Imperial Creed and the service of the Ecclesiarchy. They are fanatically devout warriors who combine martial prowess with unshakable faith, wielding holy weapons to purge heretics, witches, and xenos in the name of the Emperor.","Die Adepta Sororitas, auch bekannt als die Schwestern des Kampfes, sind ein rein weiblicher Kampforden, der dem imperialen Glauben und dem Dienst der Ekklesiarchie gewidmet ist. Sie sind fanatisch gläubige Kriegerinnen, die Kampfkraft mit unerschütterlichem Glauben verbinden und heilige Waffen führen, um Ketzer, Hexen und Xenos im Namen des Imperators zu reinigen.",,Offence|Social
admin,Adeptus Administratum,Adeptus Administratum,admin.png,"The Adeptus Administratum is the vast bureaucratic arm of the Imperium, responsible for managing the endless records, logistics, and tithes that keep the galaxy-spanning empire functioning. Its members are clerks, scribes, and officials who labor tirelessly to maintain order amidst the chaos of the Imperium’s endless demands.","Das Adeptus Administratum ist der gewaltige bürokratische Arm des Imperiums, der für die Verwaltung der endlosen Aufzeichnungen, Logistik und Zehnten verantwortlich ist, die das galaxisweite Imperium am Laufen halten. Seine Mitglieder sind Schreiber, Beamte und Funktionäre, die unermüdlich daran arbeiten, Ordnung inmitten der unzähligen Anforderungen des Imperiums aufrechtzuerhalten.",,Knowledge|Social
arbite,Adeptus Arbites,Adeptus Arbites,arbite.png,"The Adeptus Arbites are the Imperium’s enforcers of law and order, tasked with upholding the Emperor’s justice across countless worlds. They are judge, jury, and executioner, wielding brutal efficiency to suppress rebellion, punish heresy, and enforce Imperial edicts. Known for their unwavering loyalty, they operate above planetary laws to ensure compliance with the will of Terra.","Das Adeptus Arbites ist die Strafverfolgungsbehörde des Imperiums, die für die Aufrechterhaltung von Gesetz und Ordnung auf unzähligen Welten verantwortlich ist. Sie agieren als Richter, Geschworene und Henker und setzen mit brutaler Effizienz Rebellionen nieder, bestrafen Ketzerei und setzen die Erlasse des Imperators durch. Bekannt für ihre unerschütterliche Loyalität stehen sie über den planetaren Gesetzen, um die Befolgung des Willens von Terra zu gewährleisten.",,Offence|Defense
telepathica,Adeptus Astra Telepathica,Adeptus Astra Telepathica,astra.png,"The Adeptus Astra Telepathica is the Imperial institution responsible for training and regulating psykers. It oversees the Scholastica Psykana, where psykers are tested, sanctioned, and taught to safely wield their powers. Its members include Astropaths, soul-bound to the Emperor, who ensure communication across the vastness of the galaxy through the Warp.","Das Adeptus Astra Telepathica ist die imperiale Institution, die für die Ausbildung und Regulierung von Psionikern verantwortlich ist. Es überwacht die Scholastica Psykana, in der Psioniker getestet, gesegnet und darin ausgebildet werden, ihre Kräfte sicher einzusetzen. Zu seinen Mitgliedern gehören Astropathen, die durch die Seelenbindung an den Imperator gebunden sind und die Kommunikation über die Weiten der Galaxis hinweg durch den Warp gewährleisten.",,Defence|Psyker
mechanicus,Adeptus Mechanicus,Adeptus Mechanicus,admech.png,"The Adeptus Mechanicus is the Imperium’s technological priesthood, dedicated to the worship of the Machine God and the preservation of ancient knowledge. They are the masters of science, engineering, and the arcane technologies of the Imperium. From Forge Worlds, they provide weapons, starships, and countless other tools of war, blending faith and function in their pursuit of the Omnissiah’s will.","Das Adeptus Mechanicus ist die technologische Priesterschaft des Imperiums, die dem Maschinengott huldigt und altes Wissen bewahrt. Sie sind Meister der Wissenschaft, Ingenieurskunst und der arkanen Technologien des Imperiums. Von den Schmiedewelten aus liefern sie Waffen, Raumschiffe und unzählige andere Kriegswerkzeuge und verbinden Glauben und Funktion in ihrem Streben nach dem Willen des Omnissiah.",,Knowledge|Tech
ministorum,Adeptus Ministorum,Adeptus Ministorum,ministorum.png,"The Adeptus Ministorum, also known as the Ecclesiarchy, is the religious institution of the Imperium that enforces the Imperial Creed. Its priests, preachers, and missionaries spread the worship of the Emperor as the divine savior of humanity. The Ministorum commands immense influence, organizing holy crusades and maintaining shrines and cathedrals across the galaxy.","Das Adeptus Ministorum, auch bekannt als die Ekklesiarchie, ist die religiöse Institution des Imperiums, die den imperialen Glauben durchsetzt. Ihre Priester, Prediger und Missionare verbreiten die Verehrung des Imperators als göttlichen Retter der Menschheit. Das Ministorum besitzt enormen Einfluss, organisiert heilige Kreuzzüge und unterhält Schreine und Kathedralen in der gesamten Galaxis.",,Leadership|Social
exorcised,Exorciced,Exorzierter,exorcised.png,"Refers to individuals or objects that have undergone a ritual to cleanse them of Warp corruption, daemonic possession, or other heretical influences. Such rituals are conducted by sanctioned psykers, priests, or inquisitors and often leave lasting scars, both physical and spiritual, on the subject.","Bezieht sich auf Personen oder Objekte, die einem Ritual unterzogen wurden, um sie von Warp-Korruption, dämonischer Besessenheit oder anderen ketzerischen Einflüssen zu reinigen. Solche Rituale werden von gesegneten Psionikern, Priestern oder Inquisitoren durchgeführt und hinterlassen oft bleibende Spuren, sowohl körperlicher als auch geistiger Natur.",,Defense|Knowledge
heretek,Heretek,Häretiker,heretek.png,"A Heretek is a member of the Adeptus Mechanicus who has turned against the tenets of the Machine Cult, engaging in forbidden research, dealing with xenos technology, or worshiping the Dark Mechanicum. They are considered dangerous heretics and are hunted ruthlessly by loyalist Tech-Priests for their betrayal of the Omnissiah."," Ein Häretiker ist ein Mitglied des Adeptus Mechanicus, das sich gegen die Lehren des Maschinenglaubens gewandt hat, indem es verbotene Forschungen betreibt, mit Xenos-Technologien arbeitet oder dem Dunklen Mechanicum dient. Sie gelten als gefährliche Ketzer und werden von loyalen Tech-Priestern erbarmungslos für ihren Verrat am Omnissiah gejagt.",,Finesse|Tech
guard,Imperial Guard,Imperiale Armee,guard.png,"The Imperial Guard, officially known as the Astra Militarum, is the massive standing army of the Imperium, composed of countless regiments drawn from every corner of the galaxy. They serve as the primary ground forces, fighting wars of attrition against the Imperium’s myriad enemies. Despite their lack of advanced technology compared to the Adeptus Astartes, their sheer numbers and unyielding discipline make them a formidable force.","Die Imperiale Armee, offiziell bekannt als Astra Militarum, ist die gewaltige stehende Armee des Imperiums, bestehend aus unzähligen Regimentern, die aus allen Ecken der Galaxis rekrutiert werden. Sie dienen als primäre Bodentruppen und führen Abnutzungskriege gegen die zahllosen Feinde des Imperiums. Trotz ihres technologischen Nachteils im Vergleich zu den Adeptus Astartes machen ihre schiere Anzahl und ihre eiserne Disziplin sie zu einer beeindruckenden Streitmacht.",,Fieldcraft|Leadership
navy,Imperial Navy,Imperiale Flotte,navy.png,"The Imperial Navy is the vast fleet responsible for the defense and expansion of the Imperium’s interstellar territories. It provides warships, troop transports, and orbital support for ground operations. The Navy also patrols Imperial space, combats alien fleets, and ensures the flow of trade and tithes. Its officers and crew are drawn from the countless worlds of the Imperium, trained to uphold the Emperor’s will in the void.","Die Imperiale Flotte ist die gewaltige Raumstreitmacht, die für die Verteidigung und Expansion der interstellaren Gebiete des Imperiums verantwortlich ist. Sie stellt Kriegsschiffe, Truppentransporter und orbitale Unterstützung für Bodeneinsätze bereit. Die Flotte patrouilliert im imperialen Raum, bekämpft außerirdische Flotten und sichert den Fluss von Handel und Zehnten. Ihre Offiziere und Besatzungsmitglieder werden aus den unzähligen Welten des Imperiums rekrutiert und ausgebildet, um den Willen des Imperators im Weltraum durchzusetzen.",,Offence|Tech
mutant,Mutant,Mutant,mutant.png,"A Mutant is an individual whose body has been warped by genetic corruption, exposure to the Warp, or toxic environments. Mutants are often ostracized and persecuted within the Imperium, as their deformities are seen as a sign of impurity or heretical influence. While some mutations are minor, others grant extraordinary, and often dangerous, abilities.","Ein Mutant ist eine Person, deren Körper durch genetische Korruption, Warp-Einflüsse oder toxische Umgebungen verändert wurde. Mutanten werden im Imperium oft geächtet und verfolgt, da ihre Deformitäten als Zeichen von Unreinheit oder ketzerischem Einfluss gelten. Während einige Mutationen geringfügig sind, verleihen andere außergewöhnliche und oft gefährliche Fähigkeiten.",,Fieldcraft|Offence
outcast,Outcast ,Ausgestoßener,outcast.png,"An Outcast is an individual who has been exiled or shunned by society, whether due to crime, heresy, or misfortune. They survive on the fringes of the Imperium, often as smugglers, mercenaries, or scavengers. Though distrusted, their resourcefulness and ability to navigate the underbelly of the galaxy make them valuable allies or dangerous enemies.","Ein Ausgestoßener ist eine Person, die aufgrund von Verbrechen, Ketzerei oder Unglück aus der Gesellschaft verbannt oder gemieden wurde. Sie überleben am Rande des Imperiums, oft als Schmuggler, Söldner oder Plünderer. Obwohl sie misstraut werden, machen ihre Einfallsreichtum und ihre Fähigkeit, sich in den Schatten der Galaxis zurechtzufinden, sie zu wertvollen Verbündeten oder gefährlichen Feinden.",,Fieldcraft|Social
rt_fleet,Rogue Trader Fleet,Freihändlerflotte,rogue.png,"A Rogue Trader Fleet is a private armada commanded by a Rogue Trader, an individual granted a Warrant of Trade by the Imperium. These fleets are composed of powerful voidships and loyal crews, venturing beyond the boundaries of Imperial space to explore, trade, and conquer in the Emperor’s name. They act with near-total autonomy, amassing wealth and influence while charting the unknown.","Eine Freihändlerflotte ist eine private Armada, die von einem Freihändler kommandiert wird, einem Individuum, dem vom Imperium ein Kaperbrief ausgestellt wurde. Diese Flotten bestehen aus mächtigen Raumschiffen und treuen Besatzungen, die jenseits der Grenzen des imperialen Raums erkunden, handeln und erobern, um im Namen des Imperators zu agieren. Sie handeln mit nahezu völliger Autonomie, sammeln Reichtum und Einfluss und kartografieren das Unbekannte.",,Finesse|Social
c_o_dyn,Child of Dynasty,Kind der Dynastie,cod.png,"A Child of Dynasty is a scion of a powerful Rogue Trader lineage, born into privilege, wealth, and influence. They inherit the responsibility of expanding their family’s legacy through exploration, conquest, and diplomacy. Skilled in leadership and accustomed to commanding others, they navigate the void with confidence, driven by ambition and the desire to uphold their dynasty’s name.","Ein Kind der Dynastie ist ein Nachkomme einer mächtigen Freihändlerfamilie, geboren in ein Leben voller Privilegien, Reichtum und Einfluss. Sie erben die Verantwortung, das Vermächtnis ihrer Familie durch Erforschung, Eroberung und Diplomatie zu erweitern. Geübt in Führung und daran gewöhnt, andere zu kommandieren, durchqueren sie die Leere mit Selbstbewusstsein, getrieben von Ehrgeiz und dem Wunsch, den Namen ihrer Dynastie zu ehren.",,Leadership|Int
merchant,Merchant House,Handelshaus,merchant.png,"A Merchant House is a powerful commercial enterprise within the Imperium, controlling vast trade networks, voidships, and wealth. These houses operate across countless worlds, brokering deals, amassing riches, and influencing politics. Members of a Merchant House are skilled negotiators, traders, and opportunists, driven by profit and the desire to dominate interstellar commerce.","Ein Handelshaus ist ein mächtiges Handelsunternehmen im Imperium, das riesige Handelsnetzwerke, Raumschiffe und Reichtümer kontrolliert. Diese Häuser agieren auf unzähligen Welten, schließen Geschäfte ab, häufen Reichtum an und beeinflussen die Politik. Mitglieder eines Handelshauses sind geschickte Verhandler, Händler und Opportunisten, getrieben von Gewinnstreben und dem Wunsch, den interstellaren Handel zu beherrschen.",,Fel|Social
pirate_fleet,Pirate Fleet,Piratenflotte,pirate.png,"A Pirate Fleet is a ragtag armada of renegades, outlaws, and cutthroats who prey on Imperial shipping lanes, raid isolated colonies, and plunder voidships. Commanded by ruthless leaders, these fleets thrive on chaos, seizing wealth and resources while avoiding Imperial retribution. Their crews are hardened criminals who value profit over loyalty, making them both unpredictable and deadly.","Eine Piratenflotte ist eine zusammengewürfelte Armada aus Gesetzlosen, Verrätern und Halsabschneidern, die imperiale Handelsrouten überfallen, isolierte Kolonien plündern und Raumschiffe ausrauben. Unter dem Kommando skrupelloser Anführer gedeihen diese Flotten im Chaos und erbeuten Reichtümer und Ressourcen, während sie der Vergeltung des Imperiums entkommen. Ihre Besatzungen sind abgebrühte Kriminelle, die Profit über Loyalität stellen, was sie unberechenbar und tödlich macht.",,Fel|WS
navis,Navis Nobilite,Navis Nobilite,navis.ong,"The Navis Nobilite is a powerful and ancient organization of Navigator families, genetically gifted mutants capable of steering ships through the Warp. These noble houses hold immense influence within the Imperium, as interstellar travel would be impossible without their talents. Despite their indispensable role, their mutant nature isolates them socially, making them both revered and feared.","Die Navis Nobilite ist eine mächtige und alte Organisation von Navigatorenfamilien, genetisch begabten Mutanten, die in der Lage sind, Schiffe durch den Warp zu lenken. Diese adeligen Häuser besitzen enormen Einfluss im Imperium, da interstellarer Reisen ohne ihre Fähigkeiten unmöglich wäre. Trotz ihrer unverzichtbaren Rolle isoliert ihre mutierte Natur sie gesellschaftlich, was sie zugleich verehrt und gefürchtet macht.",,Knowledge|Social
gang,Gang,Gang,gang.png,"A gang is a loosely organized group of criminals, often operating in the underhive or lower levels of Imperial cities. They engage in smuggling, theft, and violent turf wars, often tied to larger criminal syndicates or rebellions. Gangs thrive in lawless areas, their members relying on brutality, cunning, and loyalty to their own.","Eine Gang ist eine lose organisierte Gruppe von Kriminellen, die häufig im Unterstock oder in den unteren Ebenen imperialer Städte operiert. Sie sind in Schmuggel, Diebstahl und gewalttätige Revierkämpfe verwickelt und oft mit größeren Verbrechersyndikaten oder Aufständen verbunden. Gangs gedeihen in gesetzlosen Gebieten, wobei ihre Mitglieder auf Brutalität, Gerissenheit und Loyalität innerhalb ihrer Gruppe setzen.",,Fieldcraft|Offence
crime,Crime Syndicate,Verbrechersyndikat,crime.png,"A crime syndicate is a large and well-organized network of criminals operating across multiple worlds or within the shadows of an Imperial hive city. These organizations engage in smuggling, trafficking, illegal trade, and assassination, often wielding significant political and economic influence. Ruthlessly efficient, they rely on secrecy, corruption, and fear to maintain control over their territories.","Ein Verbrechersyndikat ist ein großes und gut organisiertes Netzwerk von Kriminellen, das über mehrere Welten oder im Schatten einer imperialen Makropole operiert. Diese Organisationen sind in Schmuggel, Menschenhandel, illegalen Handel und Attentate verwickelt und üben oft erheblichen politischen und wirtschaftlichen Einfluss aus. Sie agieren mit gnadenloser Effizienz und sichern ihre Kontrolle über ihre Territorien durch Geheimhaltung, Korruption und Angst.",,Offence|Social
medicae,Officio Medicae,Officio Medicae,medic.png,"The Officio Medicae is the medical branch of the Imperium, responsible for the training and deployment of doctors, surgeons, and medics across countless battlefields and worlds. Its personnel are highly skilled in treating wounds, combating plagues, and performing cybernetic surgeries. Though often overworked and under-resourced, they are essential for maintaining the health and combat readiness of the Imperium’s forces and citizens.","Das Officio Medicae ist die medizinische Abteilung des Imperiums, verantwortlich für die Ausbildung und den Einsatz von Ärzten, Chirurgen und Sanitätern auf unzähligen Schlachtfeldern und Welten. Sein Personal ist hochqualifiziert in der Behandlung von Wunden, der Bekämpfung von Seuchen und der Durchführung kybernetischer Operationen. Obwohl oft überarbeitet und unterversorgt, sind sie unverzichtbar für die Aufrechterhaltung der Gesundheit und Einsatzbereitschaft der Streitkräfte und Bürger des Imperiums.",,Knowledge|Fieldcraft
pdf,Planetary Defence Force,Planetare Verteidigungsstreitkräfte,pdf.png,"The Planetary Defence Force is the local military force of an Imperial world, tasked with defending the planet from internal threats, alien invasions, and Chaos incursions. Composed of local recruits, the PDF varies widely in training, equipment, and effectiveness, often relying on Imperial Guard reinforcements when overwhelmed. They are the first line of defense for the Emperor’s domain.","Die Planetaren Verteidigungsstreitkräfte sind die lokalen Militäreinheiten einer imperialen Welt, die mit der Verteidigung des Planeten gegen innere Bedrohungen, außerirdische Invasionen und Angriffe des Chaos beauftragt sind. Sie bestehen aus lokalen Rekruten und variieren stark in Ausbildung, Ausrüstung und Effektivität, wobei sie bei Überforderung oft auf Verstärkung durch die Imperiale Armee angewiesen sind. Sie bilden die erste Verteidigungslinie im Herrschaftsbereich des Imperators.",,Defence|Fieldcraft
noble,Great Noble House,Großes Adelsgeschlecht,noble.png,"A Great Noble House is a powerful aristocratic family within the Imperium, wielding immense political, economic, and military influence across entire sectors or even systems. These houses often control vast estates, fleets, and armies, using their wealth and connections to maintain their status. Members of these houses are skilled in diplomacy, intrigue, and command, ever seeking to expand their power and preserve their legacy.","Ein Großes Adelsgeschlecht ist eine mächtige aristokratische Familie im Imperium, die enormen politischen, wirtschaftlichen und militärischen Einfluss über ganze Sektoren oder sogar Systeme ausübt. Diese Häuser kontrollieren oft riesige Ländereien, Flotten und Armeen und nutzen ihren Reichtum und ihre Verbindungen, um ihren Status zu bewahren. Mitglieder dieser Häuser sind in Diplomatie, Intrigen und Führung geübt und streben stets danach, ihre Macht auszubauen und ihr Erbe zu sichern.",,Fellowship|Leadership
skitarii,Skitarii,Skitarii,skitarii.png,"The Skitarii are the cybernetic soldiers of the Adeptus Mechanicus, engineered for war and unwavering loyalty to the Machine God. Enhanced with powerful augmentations, they serve as the Mechanicus’ primary military force, wielding advanced weaponry and fighting in perfect synchronization. Whether defending Forge Worlds or leading Mechanicus expeditions, the Skitarii are relentless warriors driven by faith and logic.","Die Skitarii sind die kybernetischen Soldaten des Adeptus Mechanicus, erschaffen für den Krieg und unerschütterlich loyal zum Maschinengott. Mit mächtigen Verbesserungen ausgestattet, dienen sie als die Hauptstreitmacht des Mechanicus, bewaffnet mit fortschrittlicher Technologie und kämpfend in perfekter Synchronisation. Ob bei der Verteidigung von Schmiedewelten oder der Führung von Mechanicus-Expeditionen – die Skitarii sind unerbittliche Krieger, getrieben von Glaube und Logik.",,Offence|Finesse
galaxia,Missionaria Galaxia,Missionaria Galaxia,missionary.png,"The Missionaria Galaxia is the missionary branch of the Adeptus Ministorum, tasked with spreading the Imperial Creed to the farthest reaches of the galaxy. Its members are devout preachers and zealous orators who travel to uncharted or rebellious worlds, seeking to convert the population to the worship of the Emperor. They often face extreme dangers but are armed with unshakable faith and the authority of the Ecclesiarchy.","Die Missionaria Galaxia ist der Missionszweig des Adeptus Ministorum, der damit beauftragt ist, den imperialen Glauben bis in die entlegensten Winkel der Galaxis zu verbreiten. Ihre Mitglieder sind fromme Prediger und eifrige Redner, die zu unbekannten oder rebellischen Welten reisen, um die Bevölkerung zur Verehrung des Imperators zu bekehren. Sie stehen oft extremen Gefahren gegenüber, sind jedoch mit unerschütterlichem Glauben und der Autorität der Ekklesiarchie ausgestattet.",,Social|WP
astronom,Adeptus Astronomica,Adeptus Astronomica,astro.png,"The Adeptus Astronomica is the Imperial organization responsible for maintaining the Astronomican, the psychic beacon that guides starships through the Warp. Based on Terra, it is staffed by thousands of psykers who sacrifice their lives daily to power this vital light. The Adeptus Astronomica is crucial to interstellar travel, ensuring the Imperium’s vast domains remain connected.","Das Adeptus Astronomica ist die imperiale Organisation, die für die Aufrechterhaltung des Astronomicans verantwortlich ist, des psionischen Leuchtfeuers, das Raumschiffe durch den Warp führt. Auf Terra stationiert, wird es von Tausenden Psionikern betrieben, die täglich ihr Leben opfern, um dieses lebenswichtige Licht zu speisen. Das Adeptus Astronomica ist entscheidend für die interstellare Navigation und stellt sicher, dass die weiten Domänen des Imperiums verbunden bleiben.",,Knowledge|WP
deathcult,Death Cult,Todeskult,death.png,"Death Cults are shadowy sects within the Imperium that worship death as a sacred aspect of the Emperor’s will. Their adherents are highly trained assassins and warriors who see killing as a holy act. Often employed by the Inquisition or Imperial elite, Death Cultists are fanatically loyal and lethal, combining religious zeal with unmatched skill in combat and stealth.","Todeskulte sind geheimnisvolle Sekten im Imperium, die den Tod als heiligen Aspekt des Willens des Imperators verehren. Ihre Anhänger sind hoch ausgebildete Assassinen und Krieger, die das Töten als heiligen Akt betrachten. Sie werden oft von der Inquisition oder der imperialen Elite eingesetzt und sind fanatisch loyal und tödlich, wobei sie religiösen Eifer mit unvergleichlichen Fähigkeiten in Kampf und Heimlichkeit verbinden.",,Ag|Finesse
munitorum,Departmento Munitorum,Departmento Munitorum,munitorum.png,"The Departmento Munitorum is the logistical branch of the Adeptus Administratum, responsible for supplying the Astra Militarum with weapons, equipment, vehicles, and provisions. It coordinates the vast network of resources needed to sustain the Imperium’s endless wars. Despite its efficiency, its immense bureaucracy can lead to delays or errors, sometimes with disastrous consequences.","Das Departmento Munitorum ist der logistische Zweig des Adeptus Administratum und verantwortlich für die Versorgung des Astra Militarum mit Waffen, Ausrüstung, Fahrzeugen und Vorräten. Es koordiniert das gewaltige Netzwerk an Ressourcen, das benötigt wird, um die endlosen Kriege des Imperiums zu unterstützen. Trotz seiner Effizienz kann die immense Bürokratie zu Verzögerungen oder Fehlern führen, die manchmal katastrophale Folgen haben.",,Social|Knowledge
tempest,Militarum Tempestus,Militarum Tempestus,tempest.png,"The Militarum Tempestus, also known as the Tempestus Scions or Storm Troopers, are the elite shock troops of the Astra Militarum. Trained in the prestigious Schola Progenium, they carry out high-risk missions requiring exceptional discipline, skill, and precision. Armed with advanced weaponry and carapace armor, they serve as the Imperium’s spearhead in combat, often deployed for assassination, sabotage, and infiltration operations.","Das Militarum Tempestus, auch bekannt als Tempestus-Scions oder Sturmtruppen, ist die Elite-Schocktruppe des Astra Militarum. Sie werden an der angesehenen Schola Progenium ausgebildet und führen riskante Missionen aus, die außergewöhnliche Disziplin, Fähigkeiten und Präzision erfordern. Ausgerüstet mit fortschrittlicher Bewaffnung und Carapax-Rüstungen dienen sie als Speerspitze des Imperiums im Kampf und werden häufig für Attentate, Sabotage und Infiltrationsoperationen eingesetzt.",,Finesse|Fieldcraft